Status,Location,Latitude,Longitude
Open,"Fairfax, Virginia, United States",38.85,-77.311
Closed,"Fairfax, Virginia, United States",38.85,-77.319
Closed,"Fairfax, Virginia, United States",38.85,-77.319
Closed,"Fairfax, Virginia, United States",38.85,-77.319
Open,"Connecticut, United States",41.5,-72.761
Open,"Connecticut, United States",41.5,-72.761
Closed,"Connecticut, United States",41.5,-72.769
Open,"Spotsylvania, Virginia, United States",38.19,-77.591
Open,"Spotsylvania, Virginia, United States",38.19,-77.591
Closed,"Spotsylvania, Virginia, United States",38.19,-77.599
Closed,"Spotsylvania, Virginia, United States",38.19,-77.599
Closed,"Spotsylvania, Virginia, United States",38.19,-77.599
Pending,"New York, United States",40.71,-74.01
Pending,"New York, United States",40.71,-74.01
Pending,"New York, United States",40.71,-74.01
Pending,"New York, United States",40.71,-74.01
Pending,"New York, United States",40.71,-74.01
Open,"Hopewell, Virginia, United States",37.29,-77.3
Open,"Pennsylvania, United States",40.9,-77.84
Open,"Halifax, Virginia, United States",36.77,-78.93
